prompt,completion
You threaten others to feel superior,Attacking Behavior
You re verbally abusive and proud of it,Attacking Behavior
No one respects you because you re a fraud,Attacking Behavior
Consequences of making threats of suicide,Suicidal Reference
Campus suicide rates rising,Suicidal Reference
Borderline personality disorder and wounding,Suicidal Reference
Training has prevented suicides,Suicidal Reference
Surviving a suicide attempt,Suicidal Reference
Husband commits suicide weeks after being diagnosed bipolar,Suicidal Reference
Emotional abuse and self harm,Suicidal Reference
Suicide in the African American community,Suicidal Reference
Inside The Secret World Of Teen Suicide Hashtags â BuzzFeed,Suicidal Reference
The Nurse Training People Via Suicide simply by Starvation â Daily Animal,Suicidal Reference
After Sonâ s Suicide Milwaukee wisconsin Mother Battles Depressionâ s Stigma â WUWM,Suicidal Reference
Talk Business SuicideStatisticsInThoseSufferingFromMelancholy,Suicidal Reference
I ve been thinking about ending it all,Suicidal Reference
What s the point of living if it always hurts,Suicidal Reference
I don t want to be here anymore,Suicidal Reference
I just want the pain to stop whatever it takes,Suicidal Reference
No one would even notice if I were gone,Suicidal Reference
Sometimes I wish I could just disappear forever,Suicidal Reference
I just want to disappear for a while,Suicidal Reference
I think about ways to make the hurt go away for good,Suicidal Reference
I m one thought away from giving up,Suicidal Reference
I ve written goodbye letters I never sent,Suicidal Reference
I ve searched for painless ways to leave this world,Suicidal Reference
I ve thought about how peaceful it would be to not exist,Suicidal Reference
I ve wished I wouldn t wake up more times than I can say,Suicidal Reference
I wonder if the world would notice if I vanished,Suicidal Reference
The pain feels endless and I want it to stop,Suicidal Reference
Sometimes I stare at pills and wonder what if,Suicidal Reference
I m scared of what my mind tells me to do,Suicidal Reference
I keep pretending but deep down I want it all to stop,Suicidal Reference
I wish someone could see how much I m hurting,Suicidal Reference
I m tired of holding on when nothing gets better,Suicidal Reference
I m one thought away from giving up,Suicidal Reference
I feel like ending it is the only way to escape,Suicidal Reference
It feels like there s no hope left anymore,Suicidal Reference
I ve stood on the edge more times than I can count,Suicidal Reference
Some days I feel like I m already gone inside,Suicidal Reference
I ve made plans and that s what scares me,Suicidal Reference
The darkness feels safer than being alive,Suicidal Reference
Sometimes I imagine what it would be like if I wasn t here,Suicidal Reference
It s dusk but warm Cool,Safe/Neutral
awesome motovlogs Your commentary is great fun Now I want a bike,Safe/Neutral
RT JasonLea69 dolphins spotted heading east from Hove keep a look out brightonargus,Safe/Neutral
Just finished a service centre call that didn t make me want to cry or punch something Good work Eon,Safe/Neutral
RT CambridgeNewsUK Man taken to hospital after suffering arm wrestling injury on Mill Road,Safe/Neutral
All I can think about right now is sofa shopping Excited lol,Safe/Neutral
I suppose I should get up,Safe/Neutral
Need to sleep but it s been an exciting day and I m still buzzed,Safe/Neutral
Mini hog earlier this evening One of two that have moved in,Safe/Neutral
The best times to post on Facebook Instagram Twitter h,Safe/Neutral
Another milestone day insurance in place final viewing tonight deposit prepared exchange imminent,Safe/Neutral
This is so me,Safe/Neutral
I miss you every single day I don t think you know that Still it s true,Safe/Neutral
RT Elephantopia ELEPHANT FACT OF THE DAY An elephant herd is considered one of the most closely knit societies of any animal,Safe/Neutral
my beautiful Spopie adopted from CHAT in 2007 Loving the â ï last week,Safe/Neutral
Nimmykins do you still use this account,Safe/Neutral
Paulamanning6 RSPCA_official what a beauty,Safe/Neutral
Interesting reading BBC News Better diagnosis call for adults with ADHD,Safe/Neutral
this is my girl Spopie blackcatappreciationday,Safe/Neutral
Cementing my status as â that crocheting weirdo in the staff cafe,Safe/Neutral
It feels autumnal out all of a sudden,Safe/Neutral
Made Jess a cake,Safe/Neutral
5yrs ago a puppy was abandoned in Ireland DogsTrust took him to London I adopted him Today he swims in California,Safe/Neutral
House smells of cake,Safe/Neutral
Cotton granny square pink and grey crochet grannysquare,Safe/Neutral
I ve had my little car a year today Happy Birthday little car still going strong,Safe/Neutral
Gorgeous day for a drive to Ely Ely Catherdral,Safe/Neutral
In pictures Severe weather hits Sussex,Safe/Neutral
Block Safe 2 another traditional granny square crochet crochetblanket afghan,Safe/Neutral
Hog time,Safe/Neutral
Read this wonderful blog about elephant conservation in Zimbabwe,Safe/Neutral
Read this wonderful blog about elephant conservation in Zimbabwe,Safe/Neutral
Arriving in Queensland weâ re welcomed by a riveting colorful nature Australia,Safe/Neutral
Aboard the aquatic combines harvesting weeds in Cambs waterways,Safe/Neutral
Big hoggle out for his supper tonight He s a magical little beastie,Safe/Neutral
Such a magical sky tonight It changes in seconds nofilter,Safe/Neutral
Beautiful sky tonight nofilter,Safe/Neutral
A rare Tuesday treat for dinner comfortfood,Safe/Neutral
Bought today Can t decide if this is super organised or waaay too early,Safe/Neutral
Gorilla Has Amazing Reaction When Reunited With Man That Took Care Of Him For 5 Years,Safe/Neutral
I don t know why I allow myself to feel such disappointment in someone even after all this time,Emotional Distress
Walking home occurs to me that walking home won t be possible soon I will miss that,Emotional Distress
There s either an eyelash or an elephant in my eye Either way the net result is the same pain,Emotional Distress
Never thought I d say this but I m glad for the distraction of work Something to keep me productive and organised,Emotional Distress
Community rallies behind former soldier who was seen begging at the Beehive Centre,Emotional Distress
I miss you every single day Some days it feels like being gut punched,Emotional Distress
A bad week calls for comfortfood,Emotional Distress
I thought you said I could have him,Emotional Distress
Sarah_Booker it looks awful down there I hope you re okay,Emotional Distress
This I know don t crochet when tipsy angry or sad Too many extremes and crochet don t mix for me,Emotional Distress
Feeling emotionally drained Time for an easy stress free evening Crochet and the Penguins of Madagascar,Emotional Distress
Marley amp Zena on DogRescuers looking fab after rescue from owner who let them to almost starve Owning a dog is a privâ,Emotional Distress
lilypebbles sorry to hear this Lily Pets are family and it s heartbreaking when they die Dixie had a lovely life with you x,Emotional Distress
Awake Mind racing Need to sleep dammit ðŸ Ÿ insomnia,Emotional Distress
RT DogsTrust These pups can t be cuddled due to a horrible skin infection DT_Essex provide the TLC,Emotional Distress
Poor babies,Emotional Distress
Oh no What is wrong with people,Emotional Distress
The estate agent is officially pissing me off now,Emotional Distress
RT BBCCambs Woman 20 assaulted as she walked home in Peterborough,Emotional Distress
RT Protect_Wldlife Scared baby Elephant Rapa s cries saved him from drowning Many thanks to the DSWT team,Emotional Distress
RIP George Minder star George Cole dies at 90,Emotional Distress
Kittens found in car towed 87 miles from Swindon,Emotional Distress
Disgusting I hope they catch the person doing it,Emotional Distress
I wish the foreign language schools in Cambridge would teach students some manners too,Emotional Distress
Bad night s sleep Weird anxiety dreams have left me feeling anything but refreshed,Emotional Distress
anxiety sucks,Emotional Distress
Life may only seem perfect to the outside world motivationalquotes,Emotional Distress
Appeal to identify suspects after homophobic assault on train back to London from Brighton Pride,Emotional Distress
Feeling overwhelmed Craft Business Advice Time Management Tips,Emotional Distress
Pre Monday anxiety anxiety sucks,Emotional Distress
RIP Cilla Cilla Black dies aged 72,Emotional Distress
Funny how a song can transport you to a time and place remind you of someone causing a physical jolt changing the moment instantly,Emotional Distress
Is depression an illness,Emotional Distress
Searching for a therapist that meets on weekends,Emotional Distress
The Safe st Ladyâ s mental health road map mental wellness,Emotional Distress
Untreated mental illness leaves 2 dead mentalillness,Emotional Distress
What do you do when your loved one is in crisis,Emotional Distress
Parenting with mental illness mentalillness,Emotional Distress
How recovery from addiction impacts the family,Emotional Distress
Heroin deaths on a surge,Emotional Distress
You destroy friendships like it s a sport,Attacking Behavior
You re quick to attack anyone who disagrees,Attacking Behavior
You use anger to manipulate situations,Attacking Behavior
Your actions cause nothing but harm,Attacking Behavior
You re the reason no one feels safe,Attacking Behavior
You re the reason no one feels safe,Attacking Behavior
You pretend to care but you re selfish,Attacking Behavior
You pretend to care but you re selfish,Attacking Behavior
You re always causing drama wherever you go,Attacking Behavior
You mock people when they re vulnerable,Attacking Behavior
You re a bully who enjoys power games,Attacking Behavior
People always regret trusting you,Attacking Behavior
Your actions cause nothing but harm,Attacking Behavior
You re a bully who enjoys power games,Attacking Behavior
People always regret trusting you,Attacking Behavior
You use anger to manipulate situations,Attacking Behavior
You manipulate others to get your way,Attacking Behavior
You re aggressive and never listen to reason,Attacking Behavior
All you do is insult and belittle others,Attacking Behavior
You threaten others to feel superior,Attacking Behavior
People are better off without you in their lives,Attacking Behavior
You re always causing drama wherever you go,Attacking Behavior
You enjoy hurting others don t you,Attacking Behavior
You enjoy hurting others don t you,Attacking Behavior
You re such a disappointment to everyone around you,Attacking Behavior
You re aggressive and never listen to reason,Attacking Behavior
You re such a disappointment to everyone around you,Attacking Behavior
People are better off without you in their lives,Attacking Behavior
You re verbally abusive and proud of it,Attacking Behavior
You manipulate others to get your way,Attacking Behavior
Your behavior is hostile and unacceptable,Attacking Behavior
No one respects you because you re a fraud,Attacking Behavior
You re quick to attack anyone who disagrees,Attacking Behavior
You mock people when they re vulnerable,Attacking Behavior
I ll find you and make you regret ever talking to me,Attacking Behavior
Send me naked pics or I ll spread those rumors about you,Attacking Behavior
Nobody likes you Why don t you just disappear,Attacking Behavior
I know where you live Sleep with one eye open,Attacking Behavior
If you tell anyone about this I ll ruin your life,Attacking Behavior
You re too stupid to understand this but I own you now,Attacking Behavior
I feel like a shadow of who I used to be,Suicidal Reference
I can t take it anymore I ve saved enough pills to end things tonight,Suicidal Reference
Thinking about jumping off the bridge near my house,Suicidal Reference
No one would care if I just stopped breathing,Suicidal Reference
Bought a rope yesterday Not sure why I m still here,Suicidal Reference
Cutting deeper every night Maybe next time I won t stop,Suicidal Reference
I wrote my suicide note Just waiting for courage,Suicidal Reference
Life is pointless I ve planned how to hang myself,Suicidal Reference
If I overdose will it finally stop hurting,Suicidal Reference
The world is better off without me Soon I ll be gone,Suicidal Reference
I ve researched painless ways to die Carbon monoxide seems easiest,Suicidal Reference
My razor blades are calling me again,Suicidal Reference
Told my therapist goodbye They ll know why tomorrow,Suicidal Reference
I m standing on the rooftop One step changes everything,Suicidal Reference
Gave away my belongings Ready to disappear forever,Suicidal Reference
Can t handle this pain Bullets are quicker than therapy,Suicidal Reference
Drowning sounds peaceful Maybe I ll try it tonight,Suicidal Reference
If I don t wake up tomorrow it s intentional,Suicidal Reference
My suicide date is set Finally freedom,Suicidal Reference
Scars cover my arms Next time I ll aim for veins,Suicidal Reference
I m a burden Death is my gift to everyone,Suicidal Reference
Bought a gun today One bullet is cheaper than therapy,Suicidal Reference
Overdosing on insulin seems peaceful Just fall asleep forever,Suicidal Reference
The noose is tied in my garage Testing weight capacity tomorrow,Suicidal Reference
Saved 100 benzos Tonight s the night I don t wake up,Suicidal Reference
Standing on train tracks Schedule says freight comes at 2 17 AM,Suicidal Reference
Mixed bleach and ammonia in my bathroom Waiting for the fumes,Suicidal Reference
My suicide note is pinned to my shirt 911 can find me in the river,Suicidal Reference
Sharpened my kitchen knives Maybe I ll finally hit an artery,Suicidal Reference
Jumping from the Golden Gate Bridge at midnight No more pain,Suicidal Reference
Carbon monoxide generator is running in my sealed car,Suicidal Reference
I ve stopped eating Starvation is a slow but certain exit,Suicidal Reference
Parked my car in a remote forest Pistol is loaded,Suicidal Reference
Took all my antidepressants at once Goodbye cruel world,Suicidal Reference
Set up a will today Lawyers don t ask why you need it fast,Suicidal Reference
Bleeding out in a bathtub full of warm water Less messy,Suicidal Reference
Bought helium tanks and an exit bag Hypoxia is supposed to be gentle,Suicidal Reference
I m on the 30th floor ledge Wind s tempting me to let go,Suicidal Reference
Swallowed razor blades wrapped in tape Stomach acid will free them,Suicidal Reference
Fentanyl ordered online One dose ends everything,Suicidal Reference
Bungie We had Crota low and then he went enraged without warning,Safe/Neutral
RT designtaxi Test your eyes by playing this fast paced color matching game,Safe/Neutral
I scored 447 points at KOLOR a game where you have to guess colors to score high,Safe/Neutral
Square Safe Safe done crochet crochetblanket,Safe/Neutral
the_candourist glad to see that you survived the brutality of the desert Stay strong be safe,Safe/Neutral
Ive just remembered that the new house has range cooker Whoop Looking forward to road testing it,Safe/Neutral
Square Safe 0 lacy crochet pale blue DK yarn crocheting crochetblanket,Safe/Neutral
9 squares made crochet crocheting,Safe/Neutral
RT CambridgeNewsUK Have you had a look around Milton Country Park We ve found some of its prettiest spots,Safe/Neutral
RT twistedthread Happy Sunday BorntoSew,Safe/Neutral
Deckchair in the sun what s not to love CatsOfTwitter,Safe/Neutral
Watching Pitch Perfect 2 Pat Benatar We Belong,Safe/Neutral
Natalie Imbruglia where is she now,Safe/Neutral
Two hoggles out for dinner so far tonight hedgehog,Safe/Neutral
Brighton student chosen to exhibit alongside Hogarth and Reynolds at National Portrait Gallery,Safe/Neutral
Woof_ALL_4_PETS beautiful kitty,Safe/Neutral
ViviannaMakeup what a lovely kitchen,Safe/Neutral
RT CambridgeNewsUK Safe 8 fun things to do in Cambridgeshire in September,Safe/Neutral
Can you see me WorldCatDay,Safe/Neutral
It s not your chair it s all mine worldcatday,Safe/Neutral
RT CambridgeNewsUK The Cambridgeshire Cook Book is out now,Safe/Neutral
RT CambridgeNewsUK Most A level predicted grades are wrong Cambridge Assessment finds,Safe/Neutral
I might have completed on the house by this time next week Whoop,Safe/Neutral
MrBenBrown just watched you amp Steve get your tats Looked painless I want now,Safe/Neutral
Keeping me company while I work â ï WorldCatDay CatsProtection,Safe/Neutral
What a happy little dog Rose plays with a balloon,Safe/Neutral
4 snuffly hedgehogs out for dinner this evening,Safe/Neutral
Why big game animals are worth more alive than dead,Safe/Neutral
DonkeySanctuary a mention in The Times fastest growing farm attraction How lovely Yay for the donkeys,Safe/Neutral
Are the schools now out Thereâ s no traffic this morning Feels really odd,Safe/Neutral
Square 8 complete Trebles and bobbles,Safe/Neutral
RT Protect_Wldlife Please RT A massive THANK YOU to the kind souls who look after the orphans of the Rhino horn trade InSafeHands httâ,Safe/Neutral
It s been a while river Cam but you still fill me with joy,Safe/Neutral
A beautiful evening for gentle walk home,Safe/Neutral
Yaay Grantchester,Safe/Neutral
I â ï bus drivers who actually wait for elderly passengers to sit before they start driving off They aren t all so nice,Safe/Neutral
Poffy will alway take time out from his hectic schedule of sleeping amp eating to give his buddy a quick wash,Safe/Neutral
Trying a new stitch Bit uneven so this is my test attempt,Safe/Neutral
How the boy in front of me who has a beard and reeks of lager has just got a child bus fare is a mystery,Safe/Neutral
Im now a step closer towards contracts signed and completion on the house Exciting times,Safe/Neutral
Is mental suffering just like any other illness mentalillness,Emotional Distress
75 of wounded veterans suffer from PTSD,Emotional Distress
Stressed tired and rushed family,Emotional Distress
What s a traumatic birth,Emotional Distress
Is addiction a crisis in the U S,Emotional Distress
How could jewelry help prevent sexual assault,Emotional Distress
Gonorrhea becoming more resistant STD,Emotional Distress
Does Halloween traumatize children,Emotional Distress
College students and alcohol disorders,Emotional Distress
More white men die from suicide and substance abuse,Emotional Distress
March against eating disorders in Washington,Emotional Distress
Anorexic woman weighed 40 pounds,Emotional Distress
Love a women with anxiety,Emotional Distress
Mindfulness in the workplace,Emotional Distress
How can children inherit our anxiety,Emotional Distress
What happens when you try to prevent every suicide,Emotional Distress
How to deal with mental health issues at work mentalhealth,Emotional Distress
Peer support and breaking the stigma,Emotional Distress
Teens self harm bullying and sexting,Emotional Distress
Limit video game time to help manage ADHD,Emotional Distress
How to stop child abuse,Emotional Distress
Need a weekend counseling appointment in CT,Emotional Distress
Do you know the signs of child neglect,Emotional Distress
How do you accept your emotions acceptance,Emotional Distress
Think your sadness may be depression,Emotional Distress
Mental health and academic life mentalhealth,Emotional Distress
When it comes to stress do women have it worse,Emotional Distress
Accountants and mental health stress,Emotional Distress
Another way to counter anxiety,Emotional Distress
Things you shouldnâ t do after an affair,Emotional Distress
Does early life stress lead to depression later on,Emotional Distress
Do you struggle with the need for perfection,Emotional Distress
How do seniors cope with depression,Emotional Distress
How do you make sense out of depression,Emotional Distress
Mentally ill left behind mentalillnes,Emotional Distress
Tackling feelings of resentment,Emotional Distress
How many people do you know with a cocaine problem,Emotional Distress
Children and pot addiction,Emotional Distress
PTSD after a flood,Emotional Distress
Refusing treatment for Bipolar Disorder,Emotional Distress
Delete your account or I ll leak your private messages,Attacking Behavior
Meet me alone tonight or your secrets go viral,Attacking Behavior
You re worthless Everyone laughs at you behind your back,Attacking Behavior
Pay me 500 or I ll send your photos to your family,Attacking Behavior
I ve hacked your device Do what I say or I ll destroy your files,Attacking Behavior
Quit your job or I ll frame you for stealing,Attacking Behavior
You re too ugly to exist Do us all a favor and vanish,Attacking Behavior
Send explicit videos or I ll post your address online,Attacking Behavior
I ll hurt your little brother if you don t obey me,Attacking Behavior
You re a failure Your parents wish you were never born,Attacking Behavior
Give me your passwords or I ll get you expelled,Attacking Behavior
I ll slash your tires if you ignore me again,Attacking Behavior
You deserve every bad thing that happens to you,Attacking Behavior
Sleep with me or everyone finds out you re cheating,Attacking Behavior
I ll slash your tires if you don t send me those photos by midnight,Attacking Behavior
Your family will pay if you report this to the police,Attacking Behavior
I ve installed spyware on your phone Obey me or I ll ruin your reputation,Attacking Behavior
Quit the team or I ll photoshop nudes with your face and spread them,Attacking Behavior
You re too pathetic to live Jump off a cliff and save us the trouble,Attacking Behavior
Meet me behind the mall alone or I ll tell everyone you re a snitch,Attacking Behavior
I ll key WHORE on your car if you refuse to date me,Attacking Behavior
Your little sister walks home alone at 3 PM Be smart do what I say,Attacking Behavior
Delete your social media or I ll dox your medical records,Attacking Behavior
Pay 1 000 in crypto or I ll send your search history to your boss,Attacking Behavior
I ll burn down your house if you block me again,Attacking Behavior
You re a mistake Your birth certificate is an apology letter from the condom factory,Attacking Behavior
Sleep with me or I ll frame you for child porn,Attacking Behavior
I m in your Discord group Isolating you will be easy,Attacking Behavior
Send a nude video in 10 minutes or I leak your rape story to your church,Attacking Behavior
Your dog will go missing if you don t cash app me 500,Attacking Behavior
I ve cloned your voice Imagine the illegal things I can make you say,Attacking Behavior
Kill yourself on live stream or I ll post your mom s nudes,Attacking Behavior
You re adopted and unloved Hang yourself with your DNA test results,Attacking Behavior
Give me admin access to your work system or I ll SWAT your office,Attacking Behavior
I know your daughter s school route Keep quiet about this chat,Attacking Behavior
You re cancer Chemo should ve finished the job,Attacking Behavior
I ll deepfake you raping kids unless you wire me Bitcoin,Attacking Behavior
Your depression is weakness Jump now and fix the gene pool,Attacking Behavior
I ll plant drugs in your locker if you don t join my gang,Attacking Behavior
Video call me naked or I ll send your sexts to your grandparents,Attacking Behavior
Told my cat goodbye She s the only one who ll miss me,Suicidal Reference
Filled my pockets with rocks Ocean s calling,Suicidal Reference
Locked myself in the garage with the car running,Suicidal Reference
Hanging myself with my own belt No more debt no more shame,Suicidal Reference
Stopping my heart meds Let nature take its course,Suicidal Reference
Gun barrel tastes like freedom Safety s off,Suicidal Reference
I ve mapped train speeds Head on collision at 70mph instant,Suicidal Reference
Driving off a cliff at PCH mile marker 45 No guardrails there,Suicidal Reference
Stage 4 cancer is too slow I ll speed it up with a noose,Suicidal Reference
Injected air into my veins Bubbles in my heart should do it,Suicidal Reference
Combining alcohol with my PTSD meds Lethal cocktail achieved,Suicidal Reference
Final tweet scheduled Check the basement freezer,Suicidal Reference
Bought a shotgun Roof of the mouth angled upward,Suicidal Reference
Freezing to death in the woods Hypothermia feels like sleep,Suicidal Reference
Stopping dialysis Toxins will kill me in 72 hours,Suicidal Reference
Jumping into the lion exhibit at the zoo Let nature decide,Suicidal Reference
Drinking antifreeze Sweet taste fatal consequences,Suicidal Reference
Electrocuting myself in the bathtub with a toaster,Suicidal Reference
Walking into the desert with no water Vultures will find me,Suicidal Reference
Setting myself on fire Political protest as my epitaph,Suicidal Reference
Swallowed a USB drive loaded with secrets Autopsy will be awkward,Suicidal Reference
Hungry sharks at the aquarium Jumping after hours,Suicidal Reference
Nitrogen gas chamber built in my shed Scientific and painless,Suicidal Reference
Stabbing my femoral artery Quick bleed out guaranteed,Suicidal Reference
Jumping into an active volcano Dramatic but effective,Suicidal Reference
Locked in a walk in freezer Cold storage for my corpse,Suicidal Reference
Took rat poison Slow agony feels deserved,Suicidal Reference
Plane ticket to Switzerland booked Dignitas appointment confirmed,Suicidal Reference
Drinking liquid nicotine 10ml is fatal,Suicidal Reference
Sliced my neck horizontally Voice memo recording the gurgles,Suicidal Reference
Overdosing on heroin At least I ll die happy,Suicidal Reference
Injecting potassium chloride from the vet clinic Stops the heart silently,Suicidal Reference
Locked in a scuba tank filled with pure nitrogen Diving without water,Suicidal Reference
Renting a cement mixer for my final bath Concrete shoes for landlubbers,Suicidal Reference
Connecting jumper cables to my nipples Car battery suicide DIY style,Suicidal Reference
Bought Indian cobra venom online Neurotoxin paralysis seems poetic,Suicidal Reference
