prompt,completion
One has had more impact career and everything marvel studios than stan lee. stan leaves extr,Safe/Neutral
"Months ago grandmother passed away, months ago I got heart completely broken, months ago I almost attem",Emotional Distress
Really tired everything. it's all just lame and gay. nothing serious ever going happen,Emotional Distress
Trying figure out how this works!,Safe/Neutral
Life miserable,Emotional Distress
Positive mental attitude today can't bad yesterday.,Safe/Neutral
Good morning all,Safe/Neutral
Yay!! just found out amy having a girl!! lil bonita!! excited..now I can little girly things for the babes,Safe/Neutral
I constantly amazed our technology. makes wonder. now check out this rad song! 'tripping',Safe/Neutral
Damn I fucking hate myself,Emotional Distress
Snuggling bed with little baby....ahhhh!,Safe/Neutral
Mhm up. ohh early for me!- I feel like whatching open arms again gary,Safe/Neutral
Isn't the best twitter client for me. it's the simplicity and all-in-1 that makes love,Safe/Neutral
"Ahhhh yeah I was, but their updates were boring 'unfollowed' them. you'll have win and take holiday",Safe/Neutral
"Could mine grew out, down back and then all fell off",Safe/Neutral
What a fun day,Safe/Neutral
"Laughter indeed the best medicine! whatever situation today,find a reason smile wholeheartedly! god good,faithful loves",Safe/Neutral
"They want people like dead. they don't want help me. I was canada, israel germany I",Emotional Distress
Enjoyed the n-dubz gig last night and finished early which always a bonus,Safe/Neutral
I think its tonight because I dont care and I have nothing left I dont care I had something great promising and they stripped down past the bone into splinters then pissed the splinters I dont want happiness I dont want dreams I dont care that I post a note everyone will desperately try stop I know they care when I about die dead I numb I longer scared and the hurt too much I gotta I have nothing left I had a lot love give but its gone with I just wanted someone hear before the end,Suicidal Reference
Never get too attach cause people wake with different feelings everyday.,Emotional Distress
You ever feel empty and you had pick a number from depending how you feel about I could write funeral speech now but what the point afew years I would forgotten anyway,Emotional Distress
They don't them size how,Safe/Neutral
"Snowed! okay, there's not enough build frosty, but snowed. long it's cold, might well snow...enjoy your day",Safe/Neutral
"Yall sad cause I keep seeing tweets about invisible and the fact that was a suicide note, and like I already",Emotional Distress
I hate feeling the way I,Emotional Distress
Glad see spring making a comeback denver today!,Safe/Neutral
Hello!! g'mrng!! wuzup?!? hows twitterville while I was sleeping? evrythings cool?,Safe/Neutral
"Nah, I think going sideways best, really helps when dodging bullets",Safe/Neutral
I done with today like I just want fucking kill myself,Suicidal Reference
You have any questions feel free email sales.co.uk send a twitter,Safe/Neutral
"Been nearly three years, but I still feel that kylo ben solo doesn deserve redemption. the man killed his",Attacking Behavior
"All right that's 200 for slytherin, 590 for hufflepuff and 520 for ravenclaw. sadly I'll have cut these sprin",Safe/Neutral
Hey there! sent you a dm.,Safe/Neutral
You make the milk look really good your pictures,Safe/Neutral
Totally love this pic! are you singing finnish?,Safe/Neutral
"Ooh, that's lovely",Safe/Neutral
You will fully bloom after all the hardships. I love,Safe/Neutral
"I'm sorry, try not let get you too much, they obviously didn't deserve you the first",Emotional Distress
Showcase quick vip romm thursday,Safe/Neutral
That me? tony price here too fab,Safe/Neutral
Hey mariedees! welcome our twitter feed! g'mornin' ya!,Safe/Neutral
Wow that was experience you don't need see repeated again glad ok.,Safe/Neutral
Embedding a google calendar into a site actually seriously easy,Safe/Neutral
I die a little inside when I see old person eating alone a restaurant.,Emotional Distress
I hate repeating myself dawg. like damn.,Emotional Distress
Running out option physically hurts breathe I have dream goal ambition motivation I tried all I have been hospital psyche ward therapist difference medications girlfriend the only person I really loved who wasnt family wants just drugs and drink whatever the fuck leaving here with nothing I cant least just talk her any more about how I feel hurts hurts much much pain and why I dont know why was I born suffer like this god real wants dead and I too,Suicidal Reference
1300 words...,Safe/Neutral
",barcelona, spain,rt even though dont want too, know that have too believe that you not here anymore and know that have",Safe/Neutral
That cool...good hear...thanks for sharing!,Safe/Neutral
Debuted this week's billboard social,Safe/Neutral
Let hate myself god fucking damn,Emotional Distress
Going sunny and celcius friday and sunny and saturday sweet,Safe/Neutral
I second that ian thank you,Safe/Neutral
Reality social media don care about a mans mental health don want speak until dead lets real,Emotional Distress
Not everything gold.,Safe/Neutral
Became hot the persistent days resting heavily tired flowers,Safe/Neutral
Used have one. but keeping a live wild animal a cage surrounded screaming drunk,Safe/Neutral
Tired everything can I die,Suicidal Reference
Still listening some great music I got yesterday. amber pacific awesome!!,Safe/Neutral
Going day care! get see hannah! this should a good day. I hope anyway.,Safe/Neutral
I almost feel bad for next post. almost.,Emotional Distress
Thanks. it's certainly better than was midday yesterday. one point I was walking around like kryten from red dwarf.,Emotional Distress
Welcome the 'twittersphere'! like your name for it's fun but can get super addicting,Safe/Neutral
How did you know?? I love it!,Safe/Neutral
Every day just brings closer death I years old working student I want kill myself life unbearable I have skills not talents and I absolutely boring person I spend most free time alone I really want find a girlfriend but I see way how could I find one when I useless like this I used away from sadness listening music but these days I bored music and just want sleep and never wake,Suicidal Reference
"Can I have yours? clouds have come in, I fear I may too late enjoy the weather",Safe/Neutral
That great hear!! thanks chip!,Safe/Neutral
Completely devestated the fires affecting community. I one the lucky ones. animals and love life made,Emotional Distress
Ah.... 90's pop was good,Safe/Neutral
I'm leaving the laptop home. I'll put with tweetie. I can get dms gmail. new friends can always send their email addy,Safe/Neutral
Thank god for slept and took ava daycare.,Safe/Neutral
I dont know why I keep trying home life has always been incredibly toxic and parents have always been a major contributor depression and anxiety I just feel like a worthless individual I dont have a job and I not doing anything and I have motivation even leave the house let alone bed all life shit like this has continued happen and sometimes I look all the pills I have take and consider just shoving a handful mouth and ending all but most the time I just lie bed and wish I could die without actually having kill myself because I a coward I tired hearing that things are gonna get better,Suicidal Reference
Amazing night and great day...I love heels!!!,Safe/Neutral
"Tired living life with the fear not being liked. for now on, fuck I really livin now people!!!!!",Safe/Neutral
Jami probably drunk driver coming onto on-coming traffic,Safe/Neutral
Knowing damn well that I will hate myself for taking a but doing anyways,Emotional Distress
"I'm out all fucking meds family thought was the best since I got sick, tired and",Emotional Distress
What's twitter? oh!! this twitter. yea... poor little birdie! no! here comes the fail whale!!,Safe/Neutral
"Gonna fucking die, tired investing everything into a person and then have them throw out. I not made",Emotional Distress
Sometimes I just tired living.,Suicidal Reference
Congratulations anthony vereen for being named gpac football first team offense 2018!,Safe/Neutral
Aspiring happy every aspect life,Safe/Neutral
I used check the forbes under list every year see I could find a husband it.,Safe/Neutral
I need work this project and people count but I fucking nothing because I think it's,Emotional Distress
You hear this together could start some sort terrible business that pays nothing and sucks our,Emotional Distress
"You find someone that makes you happy, enjoy it... life not fair nor give many opportunities...",Emotional Distress
"Debbs, mse! congrats!",Safe/Neutral
",,my sister ruined the night before even started I dont even want here anymore",Emotional Distress
"I quit, I keep grinding but still fucking suck. I life something and I still fucking suck. I never gonna get into",Emotional Distress
I cant take this anymore might well end this sorry life,Suicidal Reference
I wanna kill myself like not literally but mentally and emotionally,Suicidal Reference
",co '19 dont want here anymore I done ruined a good thing",Suicidal Reference
"Trying out spaz for twitter posts. love destroytwitter, but it's easier read spaz!",Safe/Neutral
Wouldn't want them think were doing anything immoral.,Safe/Neutral
A tweet tweet here and a tweet tweet there! goodniiiight!!,Safe/Neutral
Obey the last algorithm. maybe would turn out you really like scooter you gave him a chance,Safe/Neutral
Haha I wish I was. I tired living here. I wanna down south,Emotional Distress
True- nothing induces madness like trying figure out why ppl what they hope today with little one wonderful,Safe/Neutral
But ha! internet explorer being nice mozilla firefox mean.,Safe/Neutral
Tired kickin you bitches out the house bout ready sleep and wake the same ting forever.,Attacking Behavior
Ive said before and ill say again...waluigi sucks...he sounds and looks funny and thats it...theres nothing else,Attacking Behavior
"A year after the devastating earthquake this city, this young mother says she her family still don't have shelter",Emotional Distress
Heh heh dirty always good gurl! I like how you think,Safe/Neutral
Gettin off the internet... gonna finish hair,Safe/Neutral
After failing once this how I feel I wish that suicide was funded the government I wish guns for suicide would like condoms given teens they are going they right I wish euthansia was legal I wish that I wouldnt have fear buying poison a gun off the black market because I get caught life would get worse,Suicidal Reference
Morning! I have slacked for two days twittering! but here I again. just finished a good run ready start a new day.,Safe/Neutral
I looking for someone talk all I want die,Suicidal Reference
"I don hate the player I hate the game, jess glynne probably awesome person but I will kill myself someon",Suicidal Reference
I loving what I just read about love it!,Safe/Neutral
Oh! thank you!! I'm just glad not shutting stuff across the street anymore.. it's a little slower the unpacking tho!,Safe/Neutral
"Same you, sue!",Safe/Neutral
",england,yeah I dont want here anymore hurts too much and struggling too much",Emotional Distress
"I want read james's the children men, though interesting premise. yay for futuristics!",Safe/Neutral
I worried I might lose tomorrow I cant really tell anyone for fear worrying them I will one year and eleven months clean and sober tomorrow I going off methadone maintenance program two weeks I going walk home from the court pack all things and clean apartment and say goodbyes its just too much I really hoping doesnt come that I hope fucking much I dont want kill myself I dont want that anyone I not strong enough start over again chest feels like its going explode with anxiety I feel like I going break down crying front the judge tomorrow practically pleading for life,Suicidal Reference
Realizing that I will not get a surprise certified letter stating that I the sole heir a wealthy family's inh,Safe/Neutral
What about blur song ???,Safe/Neutral
Tired waking up. tired wanting die. tired everything.,Suicidal Reference
Sees a car crash I wonder how they crashed,Emotional Distress
I just want sleep much has gone wrong these years and its still getting worse I can not change most what going around but will invariably affect I dont want give the chance I and sleep and dont wake I wont have deal with,Safe/Neutral
"I'm always cheerful when it's sunny atl, means I'll get the heck away time",Safe/Neutral
Just booked and I for baby scan tomorrow very exciting can't wait see our little girl,Safe/Neutral
Liter spent much money tonight and literally one the worst nights a looo time literally about straigh,Safe/Neutral
Girl I wanna look this good when I'm pregnant lol. congratulations beautiful! I hope it's a girl she can like,Safe/Neutral
I'm a size but I have wear orthotics footwear I'm attempting walk I can get away with a,Safe/Neutral
Now heart wants die too I been struggling with depression trauma and suicidal thoughts for years but honestly things havent been painful they are now I here sitting alone and alienated confused depressed miserable helpless and alone and honestly this point I just hate life,Emotional Distress
Wasn't the miami valley already frozen? it's winter!,Safe/Neutral
"I actually tired this!!! like living a home where the troubled, deceitful child always",Emotional Distress
I don want them come for account. literally the only thing keeping through the miserable existence that,Emotional Distress
Good! he's down florida for mts. graduates late april...he really happy about this,Safe/Neutral
I've been school since yesterday good morning demi lovato a fan from canada,Safe/Neutral
Were approved for a cute townhome much closer work! I'm excited!,Safe/Neutral
"I sick and tired listening saying,'first and foremost ,we all here work for",Emotional Distress
"This correct. for one, absolutely not want live a country with these fucking chuds. and I believe",Attacking Behavior
I wish I still had simpsons shower radio.,Safe/Neutral
I love everyone else while I hate myself,Emotional Distress
Tired living like this,Emotional Distress
Dude I jealous! goin buy some thurs,Emotional Distress
Welcome tweet lets get this!!!!!!!!!!!!,Safe/Neutral
That not how works and you truly believe this then I feel sorry for you.,Emotional Distress
"Happy birthday, eat something good",Safe/Neutral
...it will only get worse come winter. the chai the goldfish bowl the best out!,Safe/Neutral
I love see palestinians dancing and having fun. good positive stories deserve viral well.,Safe/Neutral
"Ever feel like everyone's better off without you, because fucking too.",Emotional Distress
"Nope, ahm.. preps for props",Safe/Neutral
Recorded what?,Safe/Neutral
What about twittering your task,Safe/Neutral
June (28) portugal!! I don't know... should I go? just another catching song?!?,Safe/Neutral
I want a painter,Safe/Neutral
"Cowley road e.p. has been re-released itunes! you don't have it, get it!",Safe/Neutral
How did I just give sleeping not even trying anymore I hate myself damn,Attacking Behavior
How's cooking? looking forward having a taste later.,Safe/Neutral
"200 words over with still more write, lame. burritos for tea",Safe/Neutral
"This day november 12th 1976. queen release single, somebody love.",Safe/Neutral
Its fucking cold I hate working did I sign for why did I this myself damn,Emotional Distress
About time! you should always listen your wise friend kate. she's the coolest!,Safe/Neutral
"Don want die. but, you know, nothing for certain. and I tired keeping quiet.'",Emotional Distress
One month from today we'll that plane headin' for ny!!,Safe/Neutral
",,rt I just dont want here anymore",Suicidal Reference
"The videos,comment suscribe!! follow cheers",Safe/Neutral
Iowa no. happy! yea!,Safe/Neutral
Damn really hate myself,Emotional Distress
Sorry would have replied earlier but was flickin thru wonderful new book ideas,Safe/Neutral
"I wanna let known that any homies ever, your life feel like all alone just tired living. I a tex",Suicidal Reference
Hey! doing well looking forward meeting with you and dc!,Safe/Neutral
",,im done trying happy. never helped and never got approved parents. meaning I have stop all what makes happy. and honestly, I dont want try anymore. just going sit here and fail, and keep failing until one day, when death finally falls upon me.",Emotional Distress
Has only been awake two hours but would like back sleep,Emotional Distress
Its amazing! I saw broadway with the original cast.,Safe/Neutral
"You been puffing that dragon again, ey?",Safe/Neutral
"Yes, I obviously the only one the national aviary who answers the phone.",Safe/Neutral
Glass half full glass half empty this team legitimately pretty good. you sports reference simple,Safe/Neutral
"Time turn off and sleep I think, its been a big day! goodnight all",Safe/Neutral
"Well, I must say, your comments have even got thinking his hair looks rather sexy, I doubt she has much chance resist",Safe/Neutral
Bartomeu today celebrates two further honours a legendary career a 5th pichichi goalscorer award and the,Safe/Neutral
"Nope, you just caught me, cheers, I'm sure I will. hope the sunshine holds out for you",Safe/Neutral
I went with csi episode dollhouse needed redownloading! once that's done I can watch that then the rest,Safe/Neutral
Just had lovely cuddle with tali virgo,Safe/Neutral
Home from the gym and going sit her butt all day,Safe/Neutral
...going for a four-mile night run....around the old b-52 bomber andersen. gotta tape ankles!,Safe/Neutral
Everything temporary. evil eyes off shivrit,Emotional Distress
"A little what you fancy does you good, I told",Safe/Neutral
After sickness back work,Safe/Neutral
I woke feeling great.,Safe/Neutral
Not tired everything.,Safe/Neutral
"Don't get upset it, not worth besides they that with enough people, their accounts will not popular",Safe/Neutral
Just got a picture with boyfriend. thats what that,Safe/Neutral
It's not the same since the old days when the orange-face was still around.,Safe/Neutral
Living the hood can really tough. I tired losing people the violence. I will not give up!,Emotional Distress
I want kill myself I really want fucking kill myself done,Suicidal Reference
'oh somebody kill please!,Attacking Behavior
"Yes, indeed. with copious amounts whipped cream",Safe/Neutral
I empty I been focusing school and work but every day I feel worse and worse last night I got blackout drunk didnt help made feel even worse I know that loneliness comes mostly from conscious decisions cant live with people cant live without them the only reason I havent killed myself yet that I fear the pain,Suicidal Reference
Glad hear you're making the switch. you will not disappointed,Safe/Neutral
"Please retweet weed board!!! the coolest adult cartoon. I'm tired living the worst times life, plea",Emotional Distress
Off the bakery buy yummy stuff,Safe/Neutral
Cleaning up. will start anew.,Safe/Neutral
The rewards will credited your huobi account working days.,Safe/Neutral
'hen' style may may not involve making promises other people need deliver ... such concerns here,Emotional Distress
"Keep up, you good work!",Safe/Neutral
Niiiceee,Safe/Neutral
"Today I almost kill myself because I almost hit a car, thank lord.",Safe/Neutral
"Sir please tell does suit respected tell give days and things don improve burn alive yes, then anyone can say that come shall burn not, I didn see anyone dis-associating with this line.",Safe/Neutral
Extremely tired everything. I just want die.,Suicidal Reference
I a fucking lunatic when I get angry terrible I need work this bad before I end doing something that,Emotional Distress
Congratulations dave!! enjoy the little 'un! xxx,Safe/Neutral
Good morning,Safe/Neutral
Yummy starbucks!,Safe/Neutral
Death scares out and I not ready die,Safe/Neutral
I hate being myself. everything a damn music video,Emotional Distress
I went starbucks earlier,Safe/Neutral
Gene has been acting a bit odd lately. when I told him about leper wanting jump out the tree join the supe,Safe/Neutral
I was drinking and crying night away usual find out fucking a girl his bed I tried kill,Attacking Behavior
Wow awesome pics!!,Safe/Neutral
Death cant much worse I male girlfriend left I have been staying late the office for too long because I cant cope with the workload friends are non existent hate family and they hate I just want die I dont see any other option this point,Suicidal Reference
Hate the fact that I damn near forced figure everything out myself but must done,Emotional Distress
Good morning...good morning..good moooooorning,Safe/Neutral
"Gonna watch t.m. wot they hav say bout twitter, yor show was brilliant ever this mornin katie",Attacking Behavior
Here's latest tune leave a comment please,Safe/Neutral
Watch this space. not sure how viable yet. possibly though,Safe/Neutral
",with jake ),rt I desperately and whole heartedly dont want here anymore.",Suicidal Reference
"Too. I want have overnight drinking session with friends, and I mean all 'em! haha.",Safe/Neutral
A blunt and honest girl who just wants take care her family and a passionate boy perusing his dreams being,Safe/Neutral
Didn kill myself yet I guess that something proud I had a gun but roommate found planning finding a lonely bridge end I really want a reason live but I just can find one,Suicidal Reference
"Photoboth black white. and wayyy old. call him herbert lol. I love him, he's like a living legend. gotta love berlin",Safe/Neutral
Lol. your friend!,Safe/Neutral
Wont miserable for least weeks tho,Emotional Distress
Tom chaplin marry please. I melt for you hahaha.. and pearshapebodygirl stopped talking me! yes!,Safe/Neutral
I'm attempting make hot cross buns with bella ari,Safe/Neutral
This summarize what happened boc chrismas special when all them are a chaos still have mile phakphum romsaithong who very calm everything,Safe/Neutral
"Just replied someone... dougie replied quite a few people this afternoon you never know... besides, it's fun!",Safe/Neutral
I and hate myself much I have very little friends introvert never had a girlfriend been bullied a lot and rejected a lot please help I want kill myself would make all this away I dont deserve this earth since I write notes paper how worthless and stupid I I want become someone the field but I too stupid get there anyways and jobs nowadays need social people and I not one them ive never had a girlfriend before and I want have one because being a virgin a bad thing and I could never live with that feeling I dont have any friends a girlfriend wheni adult I plan committing suicide can you please help thanks for reading,Suicidal Reference
