prompt,completion
This was funking awesome the guy sucked but the girl was so funkin hot let me stroke my cock for you I love this song and good job for acting in journey to mysteries island This is funking disturbing who really wants a little befoul girl wanting botox pit on there face You guys are amazing,Safe/Neutral
yesss YOU CANT JUST END IT LIKE THAT neato ENGLISH He is you should probably drink cerfeee i like your shirt and i m the only views ha you are welcome i love the random coughshere AND there are you guys christian hey Tri what re you doin under the table there what kind of steady cam internet superstardom they went to OT anyway,Safe/Neutral
They are so cute I feel so sorry to hear that people think all of Thai K POP fan hate them because It s not I m one who is Thai and I like this one even I m not BBC but I respect Zico s talent Kyle Hanagami,Safe/Neutral
if only little kids could do that when a creeper is following them i like how the top comments are all connected and funny lol i think im raping the like button too much but i dont give TWO fucks XD I 3 his hair Lovvveee this song and the video D 3 I cant get this song out of my head this song used to be the shit P you can never get enough of The Fray 3 lmao Emmanuels facial expressions XD,Attacking Behavior
I love Adele que horror yo estoy en gimnasia ritmica y nunca he visto cosa parecida mola muy bien ya quisiera hacer eso yo con mi clase dios k feas mola mucho muy bien I LOVE AQUI NO HAY QUIEN VIVA,Safe/Neutral
christiansmification wat yellow line Stop sayin nice boobs SHE HAS NO FUCKIN BOOBS Cutie petutie X_X Wtf was dat hahahahahhahaha U call dat sexy hahaha Sergio ur gay Man I wouldve raped u lol La nina sabe mas k esas pendejas k ridiculo hizieron You guy,Attacking Behavior
dat bitch ant playin The cops hate me with my 2 12s This of my dat ASS O_O hell yea watch the video for the song thats why he didnt use his cell phone 35400 people dont have homies still Rebel Pride South Carolina Pride,Attacking Behavior
looking forward to the new chic fil a opening in town soon can t waite to show them lots of support coming soon incredible new garage project don t miss this one tell your friends here it comes any time now 10000 views wwwhhhaaaammmmm there it is 10000 views Ild like to thank all the little people etc,Safe/Neutral
So cute and is this real de kleuren zijn echt heel leuk gaan jullie uit eten wat waar Ik houdt van bananen hehehe o O I love this movie Kill Esther Lol Pause at 1 27 lol lol Shoenice eats a lot I thought there was a bug on my screen D,Safe/Neutral
Hi Watch this when your high lol _ 3 Their in the description box Very amazing 3 awesomeness,Safe/Neutral
I liked it I would take your class if I lived in the area You killed it man its like a song meant for you Yes Great song and Nice Lyrics Damn they Killed it I loved the song he choose dam Brian Puspos has come a long way if you really think of it I m happy for that dude Kyle made the song like 10x better haha loved the whole video They did really good Amazing,Safe/Neutral
The feel decorating The feel decorating The feel of it decorating So good I love Christmas It s my favorite Holliday I am thankful for my family there always there for me and I m blessed This makes my life so much,Safe/Neutral
I LOVE U GUYS SO MUCH Please help i have this problem What do i do It was great working with ya nat 3 then ur a bitch um yuck no offense Dont read this cuz it really works Now that u started readin dont stop Tomorrow will be the the best day ever for you and you will be kissed by the love of ur life But if you dont post this on 3 videos u will die within over two days After u post it press F6 in the nxt half hour and ur crush s name will appear,Attacking Behavior
Its Dope como se llama esta cancion,Safe/Neutral
Only white people Smh Shake that ass bitch and Dingle nut sacks for face Yes 127439 And if they added injuries Pornography Yay You slid it under the table First 12 567 Booty every were,Attacking Behavior
I made some orchestral music,Safe/Neutral
I was looking all over youtube for an amazing pianist finally YOU yeah neither are cyberbullies the only thing that makes ppl beautiful are thier personallity Do us a favor and GET OFF YOUTUBE wooow ur lammmmmmmmmmmme AHHH Miranda you are AWESOME Keep it up girlllllyyy Oh do a Lady Gaga Make up tutorial 0 12 HA ummm ok then i d rather b an idiot than a stupid h8er yes hahah you see that blue ball go by on 3 54,Attacking Behavior
love it wow omg i 3 love dj boonie i love justin that muchitis unreal love bruno peter omg i love this song and my best friend sings it xx awww such a cutie omg his voice is perfect P my love for this song is unreal 3,Safe/Neutral
Dislike Can t believe it exist 4 this song,Safe/Neutral
So basically gd was imprisoned for being a fashion psycho and he got help from the kids and his gang at the jail to break out Then he had to go find a job outside and tried boxing circus master and a tennis player but they didn t work out So in the end he got help from taeyang and stole all his clothes back while being happy that he s finally wearing an outfit again So basically that one shot at the end decides whether or they all die or live,Safe/Neutral
Thanks for the video great gun just got a new one performs excellent I m going into law enforcement myself there s no excuse for what they did but God will judge them I can t believe it was a brother and sister involved wow my people we have to learn to come together as God s people only then will this foolishness stop,Safe/Neutral
I luv u guys ur so awesome ur version of our song is the only version i like Could u do more plzzzzzzz me and bff Kels just luv ur singin natalie from dallas,Safe/Neutral
I ll stop now this is getting childish It was childish to start really Bye now D You appear to have missed the joke twas only a joke,Safe/Neutral
ahahahh u kinda look like a ganguru 3 BANANAS Maybe Mochiii it s really cutee or snoop dog LOL EEEEE Sooo happy for uuu Oh you should ve made it one that looked like Domo but i still love the one that u made What is the name of ur pc or laptop much appreciated because i wanted to buy a new one SKYPE hahahahha Are u teaching Derick that LOOL Waaa Lin is SHO CUTE Aj Raphael 3 3 ____ i feel bad for those who took this serously btw I love your makeup Gloriaa 33 AW HELL TO THE NAAW x D,Safe/Neutral
Dexter Morgan VS Jack the Ripper I agreed with all of them except Max Payne I quite liked that one Some of it sounds like he s hitting some coke lines Wibbly wobbly magic stuff Crimelord Dr Who references all day Yahtzee you re fantastic Gassy streams all the time You forgot his slightly cheap but still rather expensive bottle of carnivorous jam Ehhh no thanks Immortal,Safe/Neutral
Are u fucking kidding me Wow he really let himself go This shit makes me laugh I remember this Illegal She cute God bless her Damn Good video Damn they good Kane reaction to aj Da hell iGoodbye is about to start I remember this vid saw it in 2009 Rip I carly you did good I live here Gta ctw Wooooo Wooooooooooooooo Shallon That is great zoom Rockstar gta,Attacking Behavior
smfh the white race ain shut sometimes,Safe/Neutral
LOLOLOLOL she s so different LOLOLOLOL,Safe/Neutral
check this out NEW VLOGGING GROUP,Safe/Neutral
anyone notice that there is only like 304 views and 1155 likes dang what happen robin lol cheveron This song hits,Safe/Neutral
nope im 17 and i got one 1931 model a flatbed nothing else like it work of art Okay Class Field Trip Off to the Swamp to do som Muddin i like jokes so i type in honda civic what kind of ipod hook up is that did you notice and MPG increase with the KN filter,Safe/Neutral
Sorry no skyrim in a while postponed so i can do a tekkit playthough Going to live stream Feed The Beast Insanity soon will be on YouTube eventually,Safe/Neutral
I like this xD great job xD i wana clabb on a track wif yu xD if your down HemiNation The Realist In The Stream I wana make a cover to this now lol but a male version ahaha great job 2thumbs up One awesome artist right here xD Lol i liked this beasting on all of em lol 50Cent go hard _ girl got vocals thoo xD i lovvv itttt Well done xD we should clabb in a song,Safe/Neutral
This dance just makes people happy But haters gonna hate no matter what It s like she don t have voice any more Ahahahhahahhahahha Crnogorci hahahhahahhahahahhahahhahahhahahhahhahahhaa She is B O R I N G This shit is sooooooo good Amazing Ali devojko to je jutarnji program Kada predivna Spomenka napise tekst Poenta je da je ova devjko mnoooogo gotivna za gledanje Very good video and song So different from everything else that is made today,Safe/Neutral
Why don t you talk about the I m blogging here documentary,Safe/Neutral
Soooo sexy this sooooong,Safe/Neutral
2 4 hey Get the fuck out I m English so no comment Wow humans are so violent I think this is a waste of money plus don t we all have you know a money problems,Attacking Behavior
Danke viel mal 33 Love you Imagine if he didn t made it through would one direction sill excist just without him,Safe/Neutral
ya bro how bout u stfu it was a ipod bitch recording a tv it aint gunna come out good wat the heck r they saying fake fake i love this game i luv the school bus name of game HELL YA,Attacking Behavior
imagine watching this high fuck that you look like the stoner hippie from dazed and confused D THE BEATLES lmao they are so stoned i love it c hold that shit in I wish i can see their faces when they die and end up in hell I want go get hiiiiiigh sooo hiiiiiiigh virgin lungs I think he s hot I think i find him attractive because he can rip a bong like crazy who gives a flying fuck how old you are just fucking listen to the music,Attacking Behavior
this is cute 3 jjj like this song love this I LOVE THIS this is funny i love this i love this 3 I LOVE HELLO KITTY i relly love this song ALL SOMEVITEO KE HA NICS HER i love u lindsay cute but anoying super love it ha,Safe/Neutral
Justin how old r u And wow her eyes I luv em And I want her beautiful hair she has natural beauty I really like this song a lot I ve listened to it OVER and OVER again LOL,Safe/Neutral
Say What the truck What the FCk he does Cul SpickeyMickey XD Madison alamia i want to marry Tell mikey to wait they can wish me happy valentines day anytime I will never find someone like you mickey and mad boy i have a dance 4 this I 3 iconic boyz XD I 3 maddison XD nice awwwwwww this video is awesome u go jb OMG shes so flipping good Lol sounds like justin bieber lol Ha ha its on ellen too P whose that little head behind sam,Safe/Neutral
Wen me encanta esta cancin cssm Your voice is so beautiful I love this cover B And you are so cute B Yo no lo pude ver c Lo amo ms que la chucha c ERES UNA GROSAAAAAAAAAAAAAAAAAAAAA e_ I love this They are amazing Jonas Forever In our hearts,Safe/Neutral
HARDSTYLE MOTHA FUCKA,Attacking Behavior
SEARCH OCCUPY WALL STREET THERE S NOTHING HERE,Safe/Neutral
U are crazy LOL DDD More better than Justin Jak si Mikel sednul naopak D PROSM udlejte dal dly pod si poutm ty 3 dokola a jsou to ta nejzbavnj videa co znm vn prosm Dala bych si salmovou pizzu D A Niko B Rocky C Vlado D Gino Bude akinomka D Mnm MM s Rockstrar to nkdy zkusm 9 40 DDDD Pokej pokej ticho DD Takovej zser DD To je lama DDDDD dobe ty DDDD,Safe/Neutral
Best episode yet n the music was perfect for the mission D,Safe/Neutral
u guys are retarded for taking him seriously spew gonna be in melbs for perth show very nice work dude starting to look really good keep up the effort,Safe/Neutral
you are the best i like claw machine more than you why the claw number is not shown in 16 50 yellow beauty and sleeping beauty all three of them sea monkeys is my dream toy 4 39 NO MORE PEANUT BUTTER cute why when some one die you replay it just go to the finsh line so you will give it to a bear you are lying you cannont win that rocket it is just with a coin thats all my favorite one is on 6 22 one custurd pie wait i know this i played this in india nice and china stop being so mean,Safe/Neutral
RIP just heard the news so sad like a bosssssssss Listen to this at the same time as RainyMood google it for those who don t know it is just a recording of rain falling Trust me its amazing Jesus your voice is so bloody annoying in all your videos This is one of the greatest things I have ever seen I am set here at my desk smiling at how awesome it is,Safe/Neutral
SO beautiful Thank you very much such a beautiful cover dust oh my goodness I think I love you If you re looking for a life partner i GOT YOU such a babe wowza nobody s perfect take your negativity elsewhere you really made this your own I m partial to this over the original p this is AMAZING well done well done the second G string is meal all of the others aren t sounds so much like richie havens love it Thank you very jonie esque so nice this is BEAUTIFUL,Safe/Neutral
i use my hands since the day i quit fighting opening my locker 6th grade so i like buying school supplies but i don t like school wait are you brothers awwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww D you get better i dare you to kiss with your tounge for 3 mins im going to go to 9th grade,Safe/Neutral
100500 damn he is looking THROUGH my soul 1 MAAAN I would fucking destroyed that house with a RPG then Nuclear weapon then grenades then puted some gasoline on it and burned 0 23 41 This cured my meth addiction,Attacking Behavior
The porks even better The captions were like the ones they put for don Vito lmfao nice This is sad Porn on your laptop thanks Obama And this got past YouTube security Lmfao nice The fuck Ssiicckk Cow intestine Lol,Attacking Behavior
Fabulous idea of a video Wish I can take a time machine back to the 80s,Safe/Neutral
I have to say That walter impression Was actually pretty respectable Chain mail Boob bounce count 11 Wow they got smacked Bricks because it needs contrast Lmao at the shut up for a second NO WAY O Borderlands toilets You just broke my hymen,Safe/Neutral
Do not change because no one who loves you agree do not judge She has 19 years I do not know We are all waiting Obrigado a todos pela homenagem,Safe/Neutral
ganda talaga neto kahit pa ulet ulet ayus lng pang soundtrip ng barkada nmin 3 iDoL Ko Tom Bata ng Toh m The First Eye Shadow Color I Used Was Pink Cause It s Light Just Why I Felt Comfortable On It I Used To Be Afraid Of Bright Eye Shadows Cause I Think It Don t Look Good At Me And People Would Criticize Me But Now I Do Wear Them To Make Me Pretty Your Tutorials Inspired Me A Lot 3 NiCE WUNN,Safe/Neutral
Did you win At first I thought it was Burnie,Safe/Neutral
Endlessly Green River Ordinance,Safe/Neutral
this is retarded angry birds BIOTCHHHHH HE LOOK LIKE SUPER EGOOO EGOO FROM CHOLO ADVENTURES beast ass song chido this hsit suckkkkk P lol lol LOL SAVEN KE ESESOS LUGARES SON MUY PERONES PORKE DE AYI SOY YARIVAJUNGAPEO MICNOACAN ESPERAMOS M UY PRONTO ESTAR ENESAS TIERAS TANVONITAS SALUDOS PARA LOS ORIVIO DE JUNGAPEO DESDEESTELADO,Safe/Neutral
both of the cartridges belong to Pat the NES punk FUCK TAKE ALL OF MY YES Oh look the unpopular opinion of a v viewer YES Does anybody know if the quality of a yo yo affects its unresponsiveness I have a yo yo that s worth 15 and more times than not it s unresponsive Igno rants is bloose JonTron 2012 god I love you guys NOOOOOOOooo shoot Does anyone know what this cosplay is called 5 02 It s like a japanese high school tough guy kind of thing,Attacking Behavior
your bad lol lol you people are ugly your face es are ugley the boy is cuite they look ragity her boob is hanging out nothing to say oh wait your ugly lol dont make fun of people the way that look this i 3 christina you need face expressions ummmmm yes i can survive lol so weird cool lol she did fart at 1 18 lol lol shut up already lol so hot good so good out loud i have glasses replay at 1 52 32 looks like hes sneezing cool whats the song at 1 42 boring,Attacking Behavior
Now this could just be me but why does it seem like since she got her surgery she feels the need to act sexy and make these kinds of videos I dont understand it,Safe/Neutral
OMG She s like a moving stuffed toy so cuuutee 333 Vote for miss A on MAMA,Safe/Neutral
I cared Just you and me Thinking I listen to this everynight now I should also stop watching these Thanks tho Aww,Safe/Neutral
Anybody wanna explain what PewDieCry is I understand what an OTP is I ve just never heard of that one before This was totally my jam back in 8th grade I think Oh those good ole middle school days Dang I m old lol Graduating class of 2012 I saw her Saturday she was AMAZING That was the first Broadway musical I have ever seen and I chose a great one I wish I could see it again and again Jackie Burns has a beautiful voice I am soooooo jealous,Safe/Neutral
1 Kharma Where r the results I agree with 1 shut the fuck up stupid fucking whore its eminem does anyone know who all 25 divas are if someone does can they tell me please rosa is always elliminated first much better than rihanna I agree Onika Tanya Maraj D amaazzinnggg D,Attacking Behavior
one of the greatest dance songs che idolo R I P Mago RISE UP FROM GRAMADGA who is she YEAH NITRO CIRCUS pleae what does the speaker say at 0 25 please what does he says at 0 25 yea rite thank you garbimba I just shit my pants 12780 people doesn t put em hands up to the sound WTF only 55 million people watched this awesome video c mon guys we ar all mesmerized who the hell is the beautiful girl at 2 55 She s awesome,Safe/Neutral
it said ALMOST kiss who else thought george s little moan scream was the cutest thing EVER I m a monkey adorable smile Harry and Louis love child Yea it s freaking awesome lol My favorite cover ever love you guys xx alyssa I know you can t walk worth shit You bruised me at lunch yesterday I can t believe you pushed me out of my seat and hurt me YEAH OW absolutely adorable 3,Safe/Neutral
I think her voice reminds me more of Macy Gray I think she should doing one her songs,Safe/Neutral
good job boys lovely good old times very nice cool god bless your heart,Safe/Neutral
awww his justin bieber hair flip sooo cute 3334 i want the mans shirt everybody fuck off hes mine cuteee xD no boob touching i would never leave my band _ thanks my unicorn looks amazing the first 1 is sooo cute its my player card now hehe my kd is a 2 10 and im a girl his accent 3,Attacking Behavior
wow i can t stop watching this it s completes me 3 this makes me love them more awwwww his voice 3 i want to marry you everything you say here is just amazing i am a 16 year old fan of one direction i don t call myself a directioner or directionator i like what they do and i am proud of them as they didn t win yet they ve made it i find young fans immature and downright cruel this is incredible 3 this is really bad really bad it s got fucking colours xD,Attacking Behavior
omg this is why i love the janoskians 3 ahhahahahahhaha awh you re so small you re hot babe jokeeees he s cute when he is asleep this kid is going to be hot when he gets older you have an amazing body i love this song 3 if some amazing boy said that to my dad i d actually marry him 3 1 25 hahha it s ma vaginaaaa,Safe/Neutral
pants at a time like this,Safe/Neutral
may i ask who is the irish sorry but bruce lee did beat your ass in a fight so you sir are stupid what texter pack is he useing what texter pack is he useing what texter pack is he useing could some one plz tell me optic not faze faze sucks ravens won the super bowl so suck it you sur are a faggot she is better than you hey you sould do more waw gameplay,Attacking Behavior
Joey if u get a bowl you can eat the shrooms and have unlimited food get the bowl,Safe/Neutral
I ll be uploading my own Animal Crossing Movie Re Subbed Version on this channel soon Check back here soon to watch the full movie in HD and subtitled correctly BrawlBRSTMs No I have not,Safe/Neutral
After many difficulties our bigbang boys are back fantastic baby love you bigbang,Safe/Neutral
jg813972 Read did fuck the just I Guys go home you re drunk Is it me or does that song sounds like its from High School of The Dead Will Tom ever find out what the fuck is it Will he ever find out where mule kick is again Find out next time ooonn,Attacking Behavior
This is dumb though lol It s the coolest How exactly It s lame You make me laugh scared smile IT S AMAZING because know one does that to me and maybe to us all WE LOVE you pewds DD Let me get this straight you didn t like when tommy uploaded a vid and you did t delete it Wow I m loving this fake stuff It gets more obvious,Attacking Behavior
Poor Cassie COOOL woah 0 0 meow what xD wow thats sad D xD cool LOL lol this is funny I love this song SplasherYT he didn t know that it was Eminemyou don t have to call him a gayfish _ eyeball lol 0 0 Cute video awwwwwww it s SOOOOOO cute 3 Cool song LOL xD cool It Like al ofyour videosit has really good sound quality Love this song giggles,Safe/Neutral
Other things are wearing pj all day and drinking hot chocolate spending time with my family and friends where s 11 My fave are pink wink and cherry me I eat corn with mayonnaise too Alli is the special guest Every time i watch this video I cry its just so sad,Safe/Neutral
Thank you all for giving me 200 subscribers D,Safe/Neutral
Sorry I had to I hope your ears can forgive me,Safe/Neutral
so cute K1ngKahn eeaah xDDD i m in shok HOLY SHIT Oh guys Congratulations now you have a fan in Russia __,Safe/Neutral
1444 videos Congratulation DOTCurrency killed it in 1 shot You are singing dumb way to die right Song please Thailand TheFineBros Super crew LOL Is that a new profile picture Am i right TheDaboki might going crazy with this 3 48 3 Damn it so short The girl on right looks like MRirian,Attacking Behavior
Best Video Ever emikpo thefreemathtutor com addandsubtractalgebraicfractions htmldougsimmsonline 4 months ago this guy is a boss Why did it get restarted as in rules Bitch ain t even eating half of it,Attacking Behavior
Por fin La vuelta de Chernarus Y gente Friendly en peligro de extincin Nice vid I love it Mal nivelao MAL NIVELAO XDDD S hay de todo motos quads helicopteros avionescoches etc etc BEST DAYZ SERIE EVEERRR 10 35 Poker Face Suerte con los subs,Safe/Neutral
ah les callaron la boca a muchos pobres hueones Mi mejor amiwo Rodrigo Ohhh ese Lunes jams lleg u u,Safe/Neutral
Thanks for your hard work it sure saved my brainpower whats left of it c ascarte hotmail com ever need a deal on tires call me should be able to save you some money,Safe/Neutral
Did anyone else notice that half the people who listen to this are Bronies My Little Pony profile pics xD Mr Sausage You I know that i obviously wanted a link for it L Ohhh Okkieh I Just Spotted Your Hair Colour And Was Like MUST HAVE Sure If you find a way to make sounds with it 3,Safe/Neutral
but in the sixties The Good The Bad The Ugly and many other sexy films were released id say thats a tuff call the original pearl harbor not the new shitty one which is completely wrong hahahaha might have to start a secret porn vet association Jr GODDDAMMMNNN ITTT A SON OF A WOWWWWAAWOOOO hahahahahahaha omg at 3 22 dildos Klixen hj brought me here,Attacking Behavior
directioners love this stuff A for you all yeah NIAAAAAAAAAAALLLLLLLLLLLLLLLLLLLLLLLL daniel 3 Daniel is fucking sex Am i the only one who paused it on Skip s bum I would kill for the poster P there s nothing wrong with that i got a photo with them how was your day jordan a_shley_h i ll comment again love you jordan a_shley_h love this video too this video took to long you already follow me can you tweet me 3 a_shley_h THEYRE SUCH IDIOTS IM SCREAMING I CANT BREATH a_shley_h SKIPS SHOES,Attacking Behavior
Whats for 200th video hell yeah 10 ftw yeah rockets want him now Guys vs Girl dating im not wearing a hat PS3 ANAL ORGASM Nope listening in 2013 everything is easier with a big rack lmao 0 3 1 million subscribers YEAH Oh shit,Safe/Neutral
mmmmm must ve been salty i agreejust cause a girl doesn t have a small face doesn t make her any less girl likeand having a variety of body types are much more interesting to look at cool gloves dude damn love your coloring style,Safe/Neutral
Sounds like Sponge Bob Niggers Chris What s your name Meghan Meghan Chris Get out How it should have gone Great video have watched several times now Never gets old,Safe/Neutral
lol so true lol D fuck them t t __ 7 47 sounds like elmo lol XD damn he good i love all ur vids and all but i dont get wats so funny fun about this game o O lol XD __ awesome way to go awesome D O O,Attacking Behavior
phantom s hanhae is the model,Safe/Neutral
mseals29 Yea I know but I see wats wrong but u gotta say she does too Guys he s in the nfl I don t see any of u in the nfl he tried so calm ur pussies bitches Wth the safety watched him just run dumbass defense But yea the story was kinda bullshit Hol,Attacking Behavior
1 2 3 this video is 3 37 long he he he get it 337 can you do a piano tutorial for Different People by Artist vs Poet,Safe/Neutral
danny hall who are you to say someone deserve to die Man the american people are brain washed since forever i hope we come around soon Great stuff why would i want to go to war you have to be stupid u ass do you really think they are fighting for,Attacking Behavior
wat een kk filmpje nice voice better go kill your self,Attacking Behavior
Every time i see this i feel bad for kev Its dry cause you know health will be ok as they showed him later on fail Haha no question mark about that Omgg I wish i listen to that live Thats so mean but funny lol that man,Safe/Neutral
KONY 2012 ruby rose why did she have to kill him this is cute his very very very attractive i cant wait for this song to be released 3 her hair s amazing 3 shes so cute FINALLY OUT OMGGG 33333333333 aww josh thomas is the cutest he didnt let them down awwww niall keeps eating OH MY GOODNESS brian 3 this is cute as 3 mitchells voice gave me chills at the start of this song 3 shatts he went home brian 3 awwwwww,Safe/Neutral
been watching hulu and I am SO SICK of Sean Klitzner s verizon commercial T_T,Safe/Neutral
if it looked better i might have considered trying it but looking like this its not even worth pirating it A true warrior needs no head Totalbiscuit Crikeni have 2 words for thee Karma Charger how to beat darius 1 play ranked or draft pick so you can see if they pick darius2 pick yorick and go top3 profit the graphics remind me of borderlands Vic actually comes from victim,Safe/Neutral
Amazing On repeat for hours Yupp still amazing Wow this is awesome Perfect for hooping 3 If you don t mind me asking what diameter is your phoenix Mesmerizing D May I ask what size your green polypro is So much love3 This is the version I ve been searching for Thanks so much for posting D,Safe/Neutral
mewtwo lol min are you a gril wtf i will ues a nerf gun wtf Tornadus Thundurus Landorus,Safe/Neutral
It shoots good and looks good Kaye Good job This how filipina s do it Soooooooo cute Nice go girl,Safe/Neutral
Mike thanks for the cool vid helped me out with my 2001 honda thanks again,Safe/Neutral
like this album it is very good i cant wait for it suju fighting arab ELF i cant see anyting i just need to sleep but i will stay here for sj ZA A IM ARAB FANS AND I LOVE YOU 5,Safe/Neutral
This movie was really good full show D PVP SAAAAAN 3 PVO SAAAN 3 PVP SAAAN 3 Hunger Games FTW H8 hockey GIANTS ALL DAY What kind of cat is nylah THIS VIDEO IS ON WORLDSTAR Love fried chicken or fried buffalo wings SAAAAAAAAAANNN Timothydelaghetto and prankvsprank bfvsgf D 3 iminent U9a647YVffOB _____________I have just posted a cool BigEmo,Safe/Neutral
You got better Nice job Nichole D Will I Am let himself go Lol I m doing this song in choir D He has a good singing voice D,Safe/Neutral
wow i loved it the guy on the right is oober cute3,Safe/Neutral
Alice Chan Yuri 3 40 3 57 OMG LOL The one with the short hair is Jurina Matsui and the one with the long hair is Watanabe Mayu lol me too,Safe/Neutral
YOU TALK TO FUCKING MUCH Dihh Shxt Dopee Af D A U M Y all weak A f How old is this video L M A O Bitch you living in a damn basement Get the fuck on Ewwww Bitch you ugly af,Attacking Behavior
Jimmy my brother says this is sick He s 7 I hope you stored that game on the hard drive 3 46 my favourite bit fantastic TUUUUUBEEESSSSSS,Safe/Neutral
i love you lily mae laptop hollister wat happened,Safe/Neutral
taemin minho SHINee fighting soo,Safe/Neutral
I so singing this for my talent show Hahahaha at 4 28 4 35 wats this song This explains my life right now You are beautiful and have a amazing voice,Safe/Neutral
right in the childhood I m sort of surprised no one has mentioned the guts it took must have taken Yolandi at 2 59 Chicago would be amazing Best music video ever Don t forget Tim Rice nice camera on the right at 0 41 she tweeted a link to thankathon 7 just now Let me know if you like it if you want more Finally someone who knows how to play Well done Best trumpet version of this song on Youtube,Safe/Neutral
to serve and protect HAHA yeah cops are so outof control power given to mindless pshycos,Safe/Neutral
do you not even speak English what the hell I didnt even know it was a word I NEED HELP CAN SOMEONE HELP ME UPLOAD A VIDEO anyone know what the name of the song is in the beginning Am i the only one that thinks they look like the girls form White Chicks,Safe/Neutral
texas is iN AMERICA THOUGH IM CRYIN oh my god aodskjajskFDKJLAndfskjl gah you re so beautiful 3,Safe/Neutral
me you should have gotton the thing befor the video started hey i love this song thanks i got them from clairs and it was really cheap thanks izzy and thanks yaser did that hurt no dahh,Safe/Neutral
First haha daniel goes to my school,Safe/Neutral
i remember albert park welli could even smell the little beck that runs down the side near the kids park and boating lakeand what about the sound of come in number 7 your time is up and number 7 get back in your boat and off the island a great park and my grandfathers name is on the plaques outside the park brilliant yeahthis tourbus is mine and the band can have the other one lol too sweet for meso get some cheese scones made and put plenty of strong cheese in them,Safe/Neutral
wuts sad is that there are so many police in there watching n didnt stop it its not about race with these people u give them a lil power n they go crazy with it they think they above the law n will get away with hey they even get to take a paid vacation on tax payers money n come back to work with the same attitude no body can stop me white people get locked up for serial killing child molesting killing their whole family hate crimes and molesting there kids sick mo fos,Attacking Behavior
My musical moment of Dimenions flowers nice video also This guy is the real deal so underground he s above ground,Safe/Neutral
TOP I would do it for free WHOA top is really hot here GD said himself that he take this from maroon 5 and remixing it and he paid for that age 16 how lucky she is to be a YG trainee in such a young age PAYPHONE MIKEE He is praying and it s a right thing to do don t laugh at it HAHAHHAHHAHAHAHA ROTFLOL OMG TOP AND JIYONG OPPA i think i am going to day fangirling faint the cat pose that gd did so coollll,Safe/Neutral
haha kanyns too tall so you cant see her face in most of the ending pictures HAHAHA your so wierd but its okay cause you re funny I love this You guys are realllllyyy good marry me So basically tiffany is bringing you down christina Go back to the solo thing Not trying to be rude your voices just dont go together,Safe/Neutral
